#Constant Temperature fit results; RIPL III discrete level library; December 2021 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]     
#-------------------------------------------------------------------------------------------------------------------------
   8  27 O    1.80550   0.22606   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  28 O    1.75598   0.21151   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  13 F    4.68790   1.68928   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  14 F    4.18155   1.25817   0.00000   1.00000   4   1   1   4  0.00000  2.79000                  0             0.000
   9  15 F    3.76221   0.94944   0.00000   1.00000   5   1   1   3  0.00000  3.48000                  0             0.000
   9  16 F    3.41219   0.73239  -3.23557   1.92107  28  24   7   8  7.50000  4.65400  5.920E-02   F   0             1.876
   9  17 F    3.11819   0.58428  -2.07403   1.93999  77  37  20   9  9.45000  5.67200  2.988E-03 *     0             1.787
   9  18 F    2.87005   0.48690  -4.08830   1.80571  99  76  18  30  8.23800  6.09640  3.659E-03 *     0             2.097
   9  19 F    2.65993   0.42461  -2.63887   1.49739 191  63  15  47  8.37000  7.56000  3.677E-03 *     0             2.405
   9  20 F    2.48174   0.38423  -4.21063   1.48040 153 107  14   8  7.37000  1.84380  5.840E-03 *     0             1.794
   9  21 F    2.33072   0.35565  -2.07247   0.93449  37  26   7   4  5.59200  1.73040  1.033E-02 *     0             1.753
   9  22 F    2.20315   0.33206  -2.55811   0.76856  26  15   7   1  3.37640  0.00000  3.843E-02       0             2.230
   9  23 F    2.09585   0.30958   0.00000   1.00000  19   1   1   1  0.00000  0.00000                  0             0.000
   9  24 F    2.00524   0.28719   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
   9  25 F    1.92823   0.26517   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
   9  26 F    1.86234   0.24439   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   9  27 F    1.80550   0.22606   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   9  28 F    1.75598   0.21151   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   9  29 F    1.71225   0.20184   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  30 F    1.67295   0.19749   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  31 F    1.63684   0.19791   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  15 Ne   3.76221   0.94944   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  10  16 Ne   3.41219   0.73239   0.00000   1.00000   5   1   1   3  0.00000  6.19000                  0             0.000
  10  17 Ne   3.11819   0.58428   0.00000   1.00000  17   1   1   2  0.00000  0.00000                  0             0.000
  10  18 Ne   2.87005   0.48690  -1.29531   1.05851  22  11   7   8  5.45300  4.59000  2.894E-02       0             1.754
  10  19 Ne   2.65993   0.42461  -2.24987   1.13904  69  27   7   8  6.43700  4.03290  1.079E-02 *     0             2.308
  10  20 Ne   2.48174   0.38423   1.67707   1.19969 233  49   7   6 11.32000  5.78770  3.865E-03 *     0             2.354
  10  21 Ne   2.33072   0.35565  -1.48783   1.30505 153 104   7  13  9.29900  4.72535  3.567E-03 *     0             2.361
  10  22 Ne   2.20315   0.33206   0.58740   0.98466 145  39   7   7  8.59600  5.36340  5.609E-03 *     0             2.169
  10  23 Ne   2.09585   0.30958  -1.52665   1.00164  43  41  14   2  6.09300  1.01693  7.262E-03 *     0             1.634
  10  24 Ne   2.00524   0.28719   1.55336   0.75583  39  24   7   5  8.15000  4.76650  6.999E-03 *     0             2.511
  10  25 Ne   1.92823   0.26517   0.00000   1.00000   9   1   1   1  0.00000  0.00000                  0             0.000
  10  26 Ne   1.86234   0.24439   0.00000   1.00000   7   1   1   2  0.00000  2.01800                  0             0.000
  10  27 Ne   1.80550   0.22606   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  10  28 Ne   1.75598   0.21151   0.00000   1.00000   4   1   1   2  0.00000  1.30400                  0             0.000
  10  29 Ne   1.71225   0.20184   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  10  30 Ne   1.67295   0.19749   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  10  31 Ne   1.63684   0.19791   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  32 Ne   1.60275   0.20152   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  10  33 Ne   1.56960   0.20609   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  34 Ne   1.53634   0.20920   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  17 Na   3.11819   0.58428   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  18 Na   2.87005   0.48690   0.00000   1.00000   5   1   1   5  0.00000  0.83000                  0             0.000
  11  19 Na   2.65993   0.42461   0.00000   1.00000  10   1   1   1  0.00000  0.00000                  0             0.000
